text,polarity,stem
ποθώ,1,ΠΟΘ
πλήρης,1,ΠΛΗΡ
πεσκέσι,1,ΠΕΣΚΕΣ
περήφανος,1,ΠΕΡΗΦΑΝ
περηφάνια,1,ΠΕΡΗΦΑΝΙ
πεντάμορφος,1,ΠΕΝΤΑΜΟΡΦ
πείρα,1,ΠΕΙΡ
πατερούλης,1,ΠΑΤΕΡΟΥΛ
πατεντάτος,1,ΠΑΤΕΝΤΑΤ
παρέα,1,ΠΑΡΕ
παραθερισμός,1,ΠΑΡΑΘΕΡΙΣΜ
παραγωγική,1,ΠΑΡΑΓΩΓΙΚ
πάνθεο,1,ΠΑΝΘΕ
πανηγυρισμός,1,ΠΑΝΗΓΥΡΙΣΜ
πανηγυρικός,1,ΠΑΝΗΓΥΡΙΚ
πανέμορφος,1,ΠΑΝΕΜΟΡΦ
παμφάγος,1,ΠΑΜΦΑΓ
παλληκαριά,1,ΠΑΛΛΗΚΑΡΙ
παλληκαράς,1,ΠΑΛΛΗΚΑΡ
παλιοπαρέα,1,ΠΑΛΙΟΠΑΡΕ
παλικαριά,1,ΠΑΛΙΚΑΡΙ
παλικαράς,1,ΠΑΛΙΚΑΡ
παιχνίδι,1,ΠΑΙΧΝΙΔ
παιγνίδι,1,ΠΑΙΓΝΙΔ
ουράνια,1,ΟΥΡΑΝΙ
όσφρηση,1,ΟΣΦΡΗΣ
όσκαρ,1,ΟΣΚΑΡ
ορθολογισμός,1,ΟΡΘΟΛΟΓΙΣΜ
ορεξάτος,1,ΟΡΕΞΑΤ
ομορφιάς,1,ΟΜΟΡΦΙ
όμορφα,1,ΟΜΟΡΦ
ομόνοια,1,ΟΜΟΝΟΙ
οίστρος,1,ΟΙΣΤΡ
νοικοκυρίστικος,1,ΝΟΙΚΟΚΥΡΙΣΤΙΚ
νοικοκυραίοι,1,ΝΟΙΚΟΚΥΡΑΙ
νίκη,1,ΝΙΚ
νιάτο,1,ΝΙΑΤ
νηφάλιος,1,ΝΗΦΑΛΙ
μυριάκριβος,1,ΜΥΡΙΑΚΡΙΒ
μπροστά,1,ΜΠΡΟΣΤ
μπουμπούκι,1,ΜΠΟΥΜΠΟΥΚ
μπουμπουκάκι,1,ΜΠΟΥΜΠΟΥΚΑΚ
μπανάκι,1,ΜΠΑΝΑΚ
μνημείο,1,ΜΝΗΜΕΙ
μερακλώνω,1,ΜΕΡΑΚΛΩΝ
μεράκι,1,ΜΕΡΑΚ
μεθυστικός,1,ΜΕΘΥΣΤΙΚ
μεγάλη,1,ΜΕΓΑΛ
μαχητικός,1,ΜΑΧΗΤΙΚ
μάλαμα,1,ΜΑΛΑΜ
λουλούδι,1,ΛΟΥΛΟΥΔ
λουλουδάκι,1,ΛΟΥΛΟΥΔΑΚ
λιντζαρίσματα,1,ΛΙΝΤΖΑΡΙΣΜΑΤ
λιμπίζομαι,1,ΛΙΜΠΙΖΟΜ
λεπτός,1,ΛΕΠΤ
λεπταίσθητος,1,ΛΕΠΤΑΙΣΘΗΤ
λεπταισθησία,1,ΛΕΠΤΑΙΣΘΗΣΙ
λειτούργημα,1,ΛΕΙΤΟΥΡΓΗΜ
λάμψη,1,ΛΑΜΨ
λάμπω,1,ΛΑΜΠ
κυρούλα,1,ΚΥΡΟΥΛ
κρασοκατάνυξη,1,ΚΡΑΣΟΚΑΤΑΝΥΞ
κούκλα,1,ΚΟΥΚΛ
κορμί,1,ΚΟΡΜ
κορμάρα,1,ΚΟΡΜΑΡ
κορμάκι,1,ΚΟΡΜΑΚ
κομπανία,1,ΚΟΜΠΑΝΙ
κοκόνα,1,ΚΟΚΟΝ
κοινότητα,1,ΚΟΙΝΟΤΗΤ
κινώ,1,ΚΙΝ
κεντρίζω,1,ΚΕΝΤΡΙΖ
κελεπούρι,1,ΚΕΛΕΠΟΥΡ
κειμήλιο,1,ΚΕΙΜΗΛΙ
καύλα,1,ΚΑΥΛ
κατευνάζω,1,ΚΑΤΕΥΝΑΖ
καταχαρούμενος,1,ΚΑΤΑΧΑΡΟΥΜΕΝ
καταπράυνση,1,ΚΑΤΑΠΡΑΥΝΣ
κατάνυξη,1,ΚΑΤΑΝΥΞ
καταλληλότερος,1,ΚΑΤΑΛΛΗΛΟΤΕΡ
καρδούλα,1,ΚΑΡΔΟΥΛ
καρδιά,1,ΚΑΡΔΙ
καμάρι,1,ΚΑΜΑΡ
καλύτεροι,1,ΚΑΛΥΤΕΡ
καλοπροαιρέτου,1,ΚΑΛΟΠΡΟΑΙΡΕΤ
καλόκαρδος,1,ΚΑΛΟΚΑΡΔ
καλοκαιράκι,1,ΚΑΛΟΚΑΙΡΑΚ
καλοδιάθετος,1,ΚΑΛΟΔΙΑΘΕΤ
καλό,1,ΚΑΛ
κάλλος,1,ΚΑΛΛ
καλλονή,1,ΚΑΛΛΟΝ
καλλιτεχνικός,1,ΚΑΛΛΙΤΕΧΝΙΚ
καλλιεργημένου,1,ΚΑΛΛΙΕΡΓΗΜΕΝ
καλησπερούδια,1,ΚΑΛΗΣΠΕΡΟΥΔΙ
καληνυχτούδια,1,ΚΑΛΗΝΥΧΤΟΥΔΙ
καλημερούδια,1,ΚΑΛΗΜΕΡΟΥΔΙ
καλαισθητικός,1,ΚΑΛΑΙΣΘΗΤΙΚ
κάθαρση,1,ΚΑΘΑΡΣ
καθαρής,1,ΚΑΘΑΡ
ισορροπία,1,ΙΣΟΡΡΟΠΙ
ικανότερος,1,ΙΚΑΝΟΤΕΡ
ικανός,1,ΙΚΑΝ
ικανοποίηση,1,ΙΚΑΝΟΠΟΙΗΣ
